Timestamp(ms),Corrente(mA)
71088,-30.30
71201,-33.30
71314,-29.90
71427,-30.00
71540,-30.00
71653,-30.00
71766,-30.10
71879,-30.00
71992,-30.30
72105,-30.10
72218,-36.00
72331,-36.00
72444,-30.00
72557,-30.40
72670,-35.50
72783,-29.90
72896,-35.30
73009,-30.00
73122,-36.40
73235,-35.90
73348,-29.90
73461,-29.80
73574,-29.60
73687,-34.80
73800,-30.30
73913,-30.10
74026,-30.10
74139,-30.00
74252,-30.10
74365,-30.30
74478,-30.60
74591,-30.00
74704,-29.60
74817,-30.20
74930,-34.90
75043,-30.10
75156,-30.20
75269,-30.10
75382,-30.30
75495,-35.90
75608,-35.40
75721,-35.90
75834,-33.50
75947,-35.80
76060,-34.20
76173,-35.80
76286,-30.20
76399,-34.80
76512,-35.40
76625,-30.30
76738,-30.30
76851,-36.00
76964,-34.80
77077,-34.80
77190,-30.00
77303,-29.90
77416,-36.10
77529,-30.00
77642,-30.40
77755,-30.00
77868,-30.30
77981,-32.50
78094,-30.40
78207,-38.40
78320,-33.20
78433,-30.40
78546,-30.10
78659,-36.00
78772,-30.00
78885,-30.00
78998,-30.30
79111,-34.40
79224,-30.00
79337,-30.10
79450,-34.60
79563,-30.40
79676,-29.90
79789,-39.10
79902,-38.50
80015,-30.30
80128,-30.50
80241,-30.20
80354,-36.30
80467,-30.20
80580,-35.40
80693,-30.00
80806,-30.30
80919,-30.30
81032,-36.30
81145,-35.40
81258,-30.30
81371,-30.10
81484,-34.00
81597,-30.20
81710,-30.30
81823,-30.20
81936,-30.40
82049,-34.40
82162,-34.50
82275,-30.00
82388,-30.50
82501,-34.50
82614,-30.30
82727,-30.40
82840,-30.00
82953,-34.70
83066,-30.30
83179,-34.90
83292,-30.40
83405,-29.90
83518,-30.50
83631,-36.10
83744,-35.90
83857,-30.20
83970,-34.10
84083,-39.10
84196,-30.20
84309,-30.40
84422,-30.10
84535,-30.40
84648,-30.30
84761,-34.80
84874,-30.00
84987,-35.90
85100,-33.70
85213,-29.80
85326,-34.50
85439,-30.40
85552,-35.90
85665,-30.40
85778,-30.50
85891,-30.40
86004,-30.20
86117,-35.70
86230,-35.60
86343,-35.60
86456,-30.20
86569,-30.60
86682,-30.30
86795,-30.20
86908,-30.70
87021,-34.80
87134,-34.30
87247,-30.00
87360,-33.80
87473,-30.00
87586,-33.60
87699,-33.90
87812,-35.10
87925,-30.30
88038,-30.50
88151,-30.00
88264,-35.30
88377,-30.30
88490,-35.80
88603,-29.90
88716,-35.90
88829,-30.40
88942,-34.60
89055,-30.20
89168,-30.60
89281,-30.10
89394,-30.10
89507,-35.30
89620,-30.10
89733,-35.30
89846,-30.20
89959,-36.00
90072,-30.10
90185,-39.40
90298,-34.30
90411,-30.10
90524,-30.20
90637,-36.20
90750,-30.00
90863,-30.30
90976,-30.00
91089,-33.70
91202,-30.00
91315,-30.10
91428,-34.40
91541,-35.30
91654,-30.30
91767,-30.10
91880,-36.40
91993,-30.10
92106,-30.00
92219,-33.80
92332,-29.90
92445,-30.30
92558,-30.70
92671,-30.00
92784,-34.70
92897,-30.20
93010,-35.20
93123,-30.10
93236,-34.90
93349,-33.30
93462,-30.10
93575,-36.50
93688,-30.10
93801,-30.10
93914,-30.10
94027,-34.70
94140,-29.90
94253,-34.40
94366,-30.30
94479,-30.70
94592,-30.40
94705,-36.40
94818,-34.30
94931,-35.40
95044,-30.00
95157,-35.70
95270,-35.90
95383,-29.80
95496,-29.90
95609,-35.80
95722,-30.10
95835,-36.00
95948,-35.40
96061,-34.90
96174,-29.90
96287,-30.00
96400,-30.40
96513,-34.30
96626,-35.80
96739,-34.30
96852,-35.90
96965,-30.00
97078,-30.30
97191,-37.00
97304,-39.30
97417,-30.20
97530,-30.10
97643,-35.60
97756,-30.30
97869,-34.80
97982,-30.30
98095,-33.60
98208,-33.30
98321,-30.00
98434,-36.10
98547,-30.10
98660,-29.90
98773,-30.40
98886,-30.10
98999,-31.10
99112,-36.10
99225,-30.10
99338,-33.30
99451,-30.30
99564,-29.90
99677,-34.90
99790,-30.00
99903,-29.80
100016,-38.90
100129,-34.50
100242,-29.80
100355,-34.80
100468,-30.60
100581,-36.20
100694,-30.40
100807,-30.30
100920,-34.20
101033,-36.00
101146,-30.00
101259,-35.80
101372,-36.20
101485,-30.00
101598,-30.20
101711,-30.00
101824,-30.20
101937,-29.90
102050,-34.70
102163,-34.40
102276,-30.00
102389,-30.20
102502,-35.60
102615,-34.40
102728,-34.30
102841,-34.50
102954,-30.50
103067,-35.30
103180,-30.10
103293,-33.20
103406,-29.90
103519,-30.10
103632,-30.00
103745,-30.30
103858,-30.30
103971,-35.90
104084,-34.20
104197,-30.10
104310,-35.10
104423,-34.60
104536,-33.30
104649,-35.80
104762,-29.90
104875,-30.10
104988,-30.30
105101,-34.80
105214,-30.30
105327,-34.80
105440,-30.20
105553,-35.30
105666,-30.10
105779,-30.20
105892,-30.10
106005,-34.40
106118,-30.60
106231,-30.30
106344,-30.60
106457,-30.20
106570,-33.70
106683,-29.80
106796,-34.50
106909,-30.10
107022,-36.10
107135,-34.30
107248,-33.80
107361,-34.80
107474,-29.90
107587,-35.70
107700,-30.00
107813,-30.00
107926,-30.10
108039,-30.20
108152,-30.00
108265,-30.20
108378,-34.40
108491,-30.20
108604,-30.20
108717,-35.70
108830,-34.80
108943,-33.20
109056,-36.00
109169,-29.90
109282,-30.30
109395,-30.30
109508,-38.60
109621,-39.20
109734,-34.50
109847,-35.90
109960,-29.80
110073,-30.00
110186,-30.30
110299,-36.10
110412,-30.10
110525,-30.10
110638,-30.60
110751,-35.70
110864,-30.20
110977,-30.20
111090,-30.20
111203,-39.20
111316,-30.20
111429,-34.60
111542,-30.20
111655,-29.90
111768,-30.30
111881,-29.90
111994,-30.00
112107,-29.90
112220,-30.20
112333,-35.00
112446,-36.50
112559,-33.60
112672,-34.60
112785,-35.80
112898,-30.40
113011,-34.40
113124,-34.70
113237,-30.30
113350,-30.10
113463,-35.70
113576,-30.00
113689,-30.10
113802,-30.00
113915,-31.50
114028,-39.00
114141,-30.20
114254,-35.90
114367,-30.20
114480,-30.10
114593,-36.20
114706,-30.10
114819,-36.00
114932,-31.40
115045,-30.20
115158,-35.30
115271,-35.90
115384,-34.10
115497,-30.40
115610,-33.90
115723,-34.90
115836,-29.80
115949,-30.10
116062,-35.10
116175,-34.50
116288,-35.80
116401,-30.00
116514,-30.20
116627,-36.20
116740,-29.80
116853,-36.50
116966,-30.10
117079,-34.40
117192,-30.10
117305,-30.10
117418,-37.20
117531,-38.90
117644,-34.30
117757,-30.40
117870,-34.60
117983,-29.80
118096,-35.00
118209,-35.90
118322,-30.30
118435,-30.10
118548,-35.30
118661,-33.90
118774,-30.20
118887,-30.30
119000,-30.20
119113,-35.80
119226,-29.90
119339,-35.60
119452,-35.80
119565,-35.90
119678,-30.40
119791,-30.20
119904,-30.30
120017,-34.80
120130,-34.50
120243,-30.20
120356,-34.30
120469,-34.40
120582,-29.90
120695,-30.20
120808,-30.50
120921,-34.50
121034,-30.10
121147,-29.70
121260,-30.20
121373,-30.10
121486,-35.90
121599,-29.80
121712,-31.10
121825,-30.20
121938,-30.40
122051,-29.90
122164,-34.30
122277,-30.30
122390,-34.50
122503,-29.90
122616,-30.20
122729,-35.60
122842,-30.30
122955,-38.70
123068,-35.90
123181,-36.20
123294,-35.70
123407,-30.10
123520,-30.00
123633,-30.00
123746,-34.70
123859,-35.80
123972,-35.70
124085,-30.30
124198,-34.60
124311,-30.10
124424,-30.10
124537,-30.00
124650,-36.20
124763,-33.90
124876,-30.10
124989,-29.80
125102,-30.40
125215,-30.20
125328,-30.40
125441,-30.50
125554,-30.40
125667,-30.20
125780,-30.10
125893,-35.90
126006,-30.20
126119,-34.70
126232,-35.00
126345,-30.20
126458,-30.40
126571,-36.30
126684,-29.60
126797,-34.70
126910,-34.80
127023,-30.30
127136,-35.90
127249,-30.40
127362,-33.20
127475,-34.10
127588,-30.70
127701,-34.50
127814,-36.30
127927,-35.70
128040,-34.90
128153,-30.20
128266,-29.90
128379,-30.10
128492,-30.40
128605,-35.00
128718,-30.90
128831,-30.10
128944,-35.90
129057,-30.10
129170,-34.70
129283,-34.50
129396,-30.20
129509,-33.60
129622,-30.00
129735,-36.20
129848,-30.80
129961,-34.40
130074,-30.20
130187,-34.70
130300,-30.20
130413,-30.20
130526,-36.30
130639,-33.80
130752,-29.90
130865,-39.10
130978,-39.00
131091,-36.20
131204,-35.00
131317,-34.60
131430,-32.70
131543,-35.90
131656,-34.50
131769,-30.10
131882,-30.20
131995,-30.20
132108,-35.50
132221,-30.10
132334,-35.70
132447,-34.50
132560,-29.90
132673,-38.30
132786,-34.90
132899,-33.10
133012,-34.40
133125,-34.70
133238,-34.60
133351,-30.20
133464,-35.80
133577,-35.90
133690,-35.90
133803,-36.20
133916,-30.00
134029,-35.60
134142,-30.20
134255,-30.00
134368,-30.80
134481,-30.00
134594,-30.10
134707,-35.30
134820,-30.30
134933,-38.90
135046,-39.10
135159,-36.50
135272,-34.70
135385,-33.70
135498,-30.70
135611,-30.20
135724,-30.40
135837,-30.10
135950,-30.30
136063,-30.10
136176,-34.60
136289,-30.10
136402,-34.00
136515,-36.40
136628,-34.90
136741,-34.20
136854,-35.10
136967,-35.00
137080,-30.30
137193,-35.90
137306,-34.80
137419,-30.30
137532,-34.60
137645,-35.00
137758,-30.80
137871,-30.20
137984,-30.10
138097,-30.00
138210,-36.10
138323,-32.40
138436,-36.20
138549,-34.60
138662,-34.60
138775,-36.50
138888,-34.60
139001,-35.80
139114,-33.80
139227,-30.10
139340,-30.10
139453,-34.70
139566,-36.00
139679,-34.60
139792,-30.30
139905,-30.00
140018,-35.60
140131,-30.30
140244,-30.00
140357,-35.80
140470,-34.70
140583,-30.10
140696,-30.20
140809,-34.80
140922,-29.90
141035,-34.70
141148,-33.90
141261,-35.40
141374,-35.00
141487,-35.80
141600,-30.20
141713,-35.30
141826,-35.60
141939,-30.40
142052,-35.90
142165,-35.00
142278,-34.10
142391,-30.00
142504,-34.30
142617,-30.10
142730,-34.60
142843,-35.40
142956,-30.00
143069,-36.20
143182,-35.90
143295,-35.90
143408,-30.70
143521,-30.00
143634,-30.20
143747,-34.30
143860,-30.20
143973,-29.90
144086,-38.30
144199,-36.10
144312,-35.80
144425,-30.20
144538,-34.10
144651,-35.80
144764,-30.10
144877,-30.20
144990,-35.10
145103,-35.90
145216,-30.20
145329,-30.00
145442,-30.20
145555,-36.20
145668,-30.60
145781,-35.60
145894,-30.30
146007,-34.00
146120,-35.70
146233,-35.90
146346,-34.60
146459,-30.30
146572,-30.20
146685,-30.20
146798,-34.30
146911,-35.60
147024,-29.90
147137,-35.00
147250,-30.30
147363,-30.10
147476,-29.60
147589,-30.20
147702,-30.10
147815,-30.20
147928,-30.60
148041,-30.10
148154,-34.70
148267,-35.60
148380,-34.60
148493,-30.10
148606,-34.40
148719,-35.90
148832,-30.00
