Timestamp(ms),Corrente(mA)
45324,-29.50
45437,-29.80
45550,-32.80
45663,-29.40
45776,-29.50
45889,-29.30
46002,-34.00
46115,-35.00
46228,-35.00
46341,-35.50
46454,-35.00
46567,-29.30
46680,-29.40
46793,-29.50
46906,-29.30
47019,-29.40
47132,-29.60
47245,-33.70
47358,-29.60
47471,-38.50
47584,-29.40
47697,-29.60
47810,-29.20
47923,-29.50
48036,-29.70
48149,-33.00
48262,-35.20
48375,-35.00
48488,-33.80
48601,-33.90
48714,-29.20
48827,-29.30
48940,-33.80
49053,-34.50
49166,-35.20
49279,-29.50
49392,-29.40
49505,-29.30
49618,-30.00
49731,-29.60
49844,-35.10
49957,-29.20
50070,-29.30
50183,-29.60
50296,-35.20
50409,-29.40
50522,-34.90
50635,-29.50
50748,-29.60
50861,-33.80
50974,-35.30
51087,-30.80
51200,-29.20
51313,-29.50
51426,-33.50
51539,-29.40
51652,-29.30
51765,-35.10
51878,-33.50
51991,-35.40
52104,-32.60
52217,-34.70
52330,-33.60
52443,-34.80
52556,-29.50
52669,-32.20
52782,-29.40
52895,-29.30
53008,-33.80
53121,-29.50
53234,-29.40
53347,-29.30
53460,-29.80
53573,-29.40
53686,-29.20
53799,-29.50
53912,-29.50
54025,-34.40
54138,-29.40
54251,-35.30
54364,-35.20
54477,-29.40
54590,-39.00
54703,-33.90
54816,-34.20
54929,-34.20
55042,-29.60
55155,-33.80
55268,-29.90
55381,-29.60
55494,-29.30
55607,-30.10
55720,-32.50
55833,-34.90
55946,-33.10
56059,-29.50
56172,-35.20
56285,-29.80
56398,-29.80
56511,-29.40
56624,-33.80
56737,-29.30
56850,-29.20
56963,-29.80
57076,-29.30
57189,-35.40
57302,-34.30
57415,-29.40
57528,-30.20
57641,-35.30
57754,-29.20
57867,-33.90
57980,-33.90
58093,-29.30
58206,-35.60
58319,-35.30
58432,-33.90
58545,-29.70
58658,-29.30
58771,-29.40
58884,-34.30
58997,-29.20
59110,-29.20
59223,-38.10
59336,-38.00
59449,-29.40
59562,-29.80
59675,-35.50
59788,-35.10
59901,-29.60
60014,-32.20
60127,-29.10
60240,-29.60
60353,-35.50
60466,-29.00
60579,-29.50
60692,-29.50
60805,-35.40
60918,-33.80
61031,-29.60
61144,-29.30
61257,-34.20
61370,-35.20
61483,-29.20
61596,-29.40
61709,-29.50
61822,-29.50
61935,-29.50
62048,-29.60
62161,-29.80
62274,-34.20
62387,-35.20
62500,-35.30
62613,-35.30
62726,-35.30
62839,-29.20
62952,-29.20
63065,-33.90
63178,-29.60
63291,-35.10
63404,-29.30
63517,-29.30
63630,-29.40
63743,-29.80
63856,-29.20
63969,-33.70
64082,-34.40
64195,-34.20
